Gattung,Bid,Ask
NTT Data Corp.,"14,40","14,60"
Nu Holdings Ltd.,"14,388","14,448"
Nu Skin Enterprises Inc.,"5,70","5,80"
Nucana PLC,"1,63","1,66"
Nucor Corp.,"136,18","136,82"
Nufarm Ltd.,"2,24","2,32"
NuGen Medical Devices Inc.,"0,0724","0,0778"
Numinus Wellness Inc.,"0,0149","0,022"
NURAN Wireless Inc.,"0,0616","0,0682"
NurExone Biologic Inc.,"0,454","0,468"
Nutanix Inc. CL A,"59,20","59,46"
Nutrien Ltd,"44,54","44,77"
Nuvei Corp.,"30,80","31,20"
Nuvista Energy Ltd.,"7,30","7,40"
Nuwellis Inc.,./.,./.
NVE Corp.,"72,00","73,00"
Nvidia Corp.,"130,50","130,64"
NVR Inc.,"8 500,00","8 600,00"
NXP Semiconductors NV,"229,00","230,00"
Nynomic AG,"17,10","17,50"
NÜRNBERGER Beteiligungs-AG,"50,50","51,00"
Kontakt,Regelwerk/Bekanntmachungen,Handelskalender
Impressum,Nutzungsbedingungen,Datenschutzerklärung
